m,n,p,iterations,#fg,f,,Message,,,,,,
5,2,2,2,2,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,2,2,2,2,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,2,2,2,2,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,4,2,17,44,9305.933478101,3.47805920728723E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
10,4,2,23,51,9305.933478101,1.85330658602871E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
20,4,2,22,162,9305.933478101,7.54448095892288E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
5,6,2,18,43,18531.143497015,6.1683537798307E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
10,6,2,21,42,18531.143497015,4.47252257880631E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
20,6,2,19,42,18531.143497015,9.0262628852314E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
5,8,2,29,42,27756.3535159291,1.6228068421236E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
10,8,2,19,245,27756.3535159291,3.94189348178277E-006,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,8,2,20,43,27756.3535159291,2.7217420699536E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4,
5,10,2,22,43,36981.5635348431,1.37383818715763E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
10,10,2,21,44,36981.5635348431,1.97911073268887E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
20,10,2,23,44,36981.5635348431,5.0263659128636E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,5,
5,20,2,16,224,83107.6136294131,1.85019126376135E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,20,2,16,42,83107.6136294131,4.64466152047629E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
20,20,2,19,44,83107.6136294132,2.38287689620977E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
5,50,2,34,41,221485.763913123,0.000000449,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
10,50,2,31,41,221485.763913123,7.85819424968025E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
20,50,2,20,42,221485.763913123,2.56586705489845E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
5,100,2,35,52,452116.014385973,7.32820170753862E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,50,
10,100,2,16,41,452116.014385974,5.8839764134855E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,50,
20,100,2,32,41,452116.014385973,1.5268522775615E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,50,
5,200,2,35,55,913376.515331676,3.18812434499725E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
10,200,2,20,41,913376.515331677,3.98181121460753E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
20,200,2,19,40,913376.515331672,8.02503919401051E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,100,
5,1000,2,15,224,4603460.52289722,0.0003652938,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,1000,2,17,41,4603460.52289722,7.21252845314448E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,500,
20,1000,2,22,203,4603460.52289721,1.89616860898951E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,500,
5,5000,2,23,41,23053880.5607253,2.18896212391269E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
10,5000,2,32,40,23053880.5607253,8.39660966369042E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
20,5000,2,17,43,23053880.5607232,1.0846805934387E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2500,
5,10000,2,12,232,46116905.6079994,5.4112329733898E-006,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,10000,2,18,297,46116905.6080044,3.66365633094926E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,10000,2,18,297,46116905.6080044,3.66359283375247E-005,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,2,1,98,393,81,2.2360679775,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,2,1,98,393,81,2.2360679775,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,2,1,98,393,81,2.2360679775,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,4,1,11,228,185.800652425,22.409877503,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,4,1,11,228,185.8883208183,22.4177002227,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
20,4,1,11,228,185.8883208183,22.4177002227,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
5,6,1,21,303,274.6784915697,22.8910465765,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
10,6,1,24,113,274.6841504088,0.000000159,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
20,6,1,24,113,274.684150471,0.000000159,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2,
5,8,1,13,117,371.5263455407,1.21329513378826E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,3,
