iteration,f,f2
0,953259.049386036,512782.680038126
1,508220.765500187,508509.242580168
2,507424.837988836,508220.765500187
3,507057.433232078,507424.837988836
4,507172.339743762,507057.433232078
5,506931.489013475,507001.024657942
6,509975.004517937,506931.489013475
7,506928.153856207,506929.463006089
8,506926.238529695,506928.153856207
9,507039.831095621,506926.238529695
10,506926.114437223,506925.95195963
11,506925.947784209,506925.949821262
12,506926.029812629,506925.947784209
13,506925.947721897,506925.947747935
14,506925.947685469,506925.947721897
15,506925.950225639,506925.947685469
16,506925.947680408,506925.947685389
17,506925.947678464,506925.947680408
18,506925.947679187,506925.947678464
19,506925.947677862,506925.947678208
20,506925.947700436,506925.947677862
21,506925.947677847,506925.947677848
22,506925.947677843,506925.947677847
23,506925.947679855,506925.947677843
